run_name,wandb_id,group,conv_encoder
toastyC1,nujoa94m,at_small,True
toastyC2,xkj9d64p,at_small,True
toastyC3,linyv3js,at_small,True
toastyN1,1f0egspf,at_small,False
toastyN2,op8rxx5u,at_small,False
toastyN3,6mznsz2t,at_small,False
toastyRC1,adt6ws83,baseline_rn,True
toastyRC2,6cxpwqj6,baseline_rn,True
toastyRC3,fii0irep,baseline_rn,True
toastyRN1,8mu3mm6q,baseline_rn,False
toastyRN2,3f3c8an1,baseline_rn,False
toastyRN3,31qbc90m,baseline_rn,False
sunny-disco-172-g4gpu-extended3-conv-4gpu,80hdru8i,at_large,True
sunny-disco-172-g4gpu-extended-conv-4gpu-s1,0b4pf1pb,at_large,True
sunny-disco-172-g4gpu-extended2-conv-4gpu-s2,rfsrxbyy,at_large,True
sunny-disco-172-g4gpu-extended,pw0rl5yo,at_large,False
sunny-disco-172-g4gpu-extended2,tnyeyekr,at_large,False
sunny-disco-172-g4gpu-extended3,mjvwhtai,at_large,False
