protein_name,xfer_scnmin_omm_06g19_eval_s777,initial_training_eval_s0,baseline_scnmin_noomm_00_eval_s3869,baseline_scnmin_noomm_00_eval_s945,baseline_scnmin_noomm_00_eval_s777,xfer_scnmin_omm_06g19_eval_s1077
7l8n_A,0.857125,0.854002,0.828332,0.857956,0.858252,0.857478
7b7t_A,0.815746,0.811928,0.813774,0.814171,0.814332,0.814776
7dkk_A,0.740222,0.716181,0.520981,0.710435,0.711859,0.744348
7nf9_A,0.617087,0.519269,0.562209,0.609334,0.608822,0.612949
7atr_A,0.780069,0.778946,0.777394,0.778103,0.77938,0.780491
7vnb_A,0.714008,0.708432,0.702637,0.712884,0.714938,0.710456
7ee3_C,0.833587,0.831596,0.742906,0.832625,0.83448,0.827254
7dfe_A,0.684786,0.664576,0.674519,0.673836,0.674228,0.683726
7wgk_A,0.772405,0.75958,0.706951,0.767306,0.767532,0.773193
7bhy_A,0.860783,0.837809,0.836223,0.859592,0.859124,0.862328
7ofn_A,0.664358,0.650988,0.659403,0.666073,0.665846,0.664175
7mu9_A,0.678054,0.676083,0.679617,0.675916,0.675016,0.677198
7dut_A,0.817597,0.820742,0.813787,0.819199,0.819457,0.81781
7fbp_B,0.678454,0.687139,0.67768,0.676914,0.677392,0.670789
7puo_A,0.802942,0.790637,0.784239,0.800466,0.801227,0.803257
7f0h_A,0.819293,0.819432,0.815572,0.820131,0.819869,0.817117
7kuw_A,0.744368,0.684855,0.683361,0.684574,0.691736,0.75407
7dmf_A,0.791197,0.78719,0.783271,0.79135,0.790941,0.794703
7v5y_B,0.798968,0.797467,0.803116,0.797568,0.799016,0.800627
7mwr_A,0.81956,0.823491,0.747179,0.820958,0.822311,0.818235
7prd_A,0.664713,0.660564,0.610651,0.66041,0.663108,0.66613
7mcc_A,0.758953,0.749184,0.748435,0.757924,0.752908,0.759968
7sjl_A,0.690077,0.664365,0.681214,0.693252,0.695212,0.689999
7eym_A,0.849629,0.849394,0.840669,0.848308,0.854747,0.8504
7acy_B,0.800586,0.80045,0.79434,0.809635,0.808761,0.798724
7skc_A,0.647414,0.637494,0.655877,0.642384,0.641936,0.648934
7spn_A,0.802211,0.79845,0.799536,0.80211,0.802999,0.802505
7ywq_A,0.540016,0.560293,0.516194,0.556915,0.570824,0.537994
7k2z_A,0.864433,0.853435,0.864914,0.863397,0.862443,0.866172
7xq5_B,0.772559,0.744099,0.751787,0.768197,0.749643,0.774715
7qap_A,0.680023,0.68427,0.696069,0.678908,0.682435,0.677992
7zro_A,0.391677,0.385714,0.372973,0.387622,0.390346,0.38843
7ry6_A,0.521697,0.512636,0.518547,0.521805,0.520992,0.522206
7mla_B,0.545089,0.539092,0.530838,0.541273,0.540384,0.546431
7qdw_A,0.739214,0.746404,0.738793,0.735357,0.742897,0.736403
7pqw_A,0.335047,0.335038,0.346868,0.345036,0.343841,0.472483
7q1t_A,0.786248,0.771191,0.787723,0.786237,0.784761,0.788449
7vty_A,0.802063,0.792739,0.789523,0.800939,0.79914,0.799473
8ako_B,0.764964,0.760682,0.765892,0.764766,0.764611,0.767273
7r6p_A,0.674024,0.678495,0.582731,0.668613,0.671886,0.670401
7uwg_C,0.641923,0.642216,0.631018,0.641058,0.641756,0.637363
8hjc_A,0.601951,0.605926,0.542576,0.596433,0.596617,0.604206
7qb0_A,0.651367,0.646041,0.650085,0.649862,0.651766,0.650061
7tt9_A,0.830498,0.82953,0.827186,0.831295,0.836885,0.829103
7fcc_A,0.798912,0.78998,0.781065,0.79789,0.797281,0.799843
7q4l_A,0.653523,0.643909,0.647895,0.65178,0.650918,0.655041
7n45_A,0.621486,0.61051,0.618239,0.619185,0.618686,0.621392
7pl4_A,0.731774,0.7322,0.662363,0.728273,0.727539,0.730739
7om4_B,0.74408,0.736443,0.692793,0.742998,0.742968,0.743298
8doa_A,0.623435,0.594698,0.59017,0.619615,0.616571,0.615085
7y6b_A,0.798921,0.794739,0.786621,0.793222,0.800258,0.793122
7vfc_A,0.875945,0.873368,0.873652,0.875524,0.87556,0.875731
7w7h_E,0.806088,0.798552,0.799248,0.801586,0.801076,0.807026
7opb_D,0.799234,0.792954,0.766003,0.796997,0.800303,0.795239
7lt7_A,0.502843,0.516603,0.484404,0.49925,0.498282,0.503904
7lxk_A,0.601899,0.590501,0.596276,0.605704,0.609012,0.603538
7osw_A,0.456713,0.457915,0.447732,0.45375,0.452964,0.457038
7mnv_B,0.768126,0.764749,0.711133,0.763371,0.767054,0.751626
7mq4_A,0.618203,0.61796,0.613933,0.616049,0.617181,0.620685
7vma_A,0.76881,0.765026,0.767934,0.767745,0.767655,0.771324
8dt0_A,0.496247,0.497384,0.506914,0.494777,0.48605,0.482912
8ab1_E,0.469673,0.464545,0.479887,0.472269,0.470156,0.471725
7lxs_A,0.780677,0.779537,0.740759,0.775208,0.778041,0.780049
7qss_A,0.724886,0.730601,0.726643,0.725952,0.726224,0.72467
7t03_A,0.776238,0.774867,0.776045,0.773014,0.774074,0.777146
7r49_B,0.838016,0.814009,0.843431,0.833091,0.833379,0.840477
7we3_A,0.422691,0.41025,0.405404,0.434072,0.42074,0.408839
7vmh_C,0.756087,0.751998,0.747057,0.75036,0.752274,0.757159
7t6a_A,0.37539,0.346001,0.304142,0.35849,0.354734,0.390729
7y4n_A,0.705034,0.705107,0.705307,0.701588,0.702771,0.705955
7v5f_A,0.619083,0.616346,0.590919,0.630627,0.630951,0.617211
7ern_C,0.837419,0.819065,0.841016,0.827183,0.822769,0.821502
7ejg_C,0.779759,0.775882,0.781854,0.782571,0.781259,0.779127
7upo_A,0.772722,0.768802,0.735787,0.772639,0.770613,0.770016
7w61_A,0.805471,0.797696,0.806883,0.806079,0.80518,0.805373
7tlf_G,0.87055,0.867459,0.863956,0.868906,0.8688,0.872488
8f09_A,0.814247,0.813172,0.80478,0.810762,0.812315,0.813152
7vu5_A,0.675021,0.668952,0.661917,0.674593,0.676882,0.671399
7upo_C,0.748493,0.743868,0.619606,0.744615,0.74451,0.746117
7n99_A,0.550226,0.528186,0.556951,0.548135,0.547927,0.552443
7t9x_A,0.808692,0.796945,0.794092,0.806953,0.807785,0.809202
7vqw_A,0.801321,0.807252,0.764817,0.800543,0.802509,0.802158
7ocj_G,0.755609,0.764224,0.755901,0.758943,0.76121,0.759682
7u37_A,0.490981,0.480484,0.490586,0.490611,0.490064,0.491347
7lve_A,0.615933,0.632437,0.632403,0.61403,0.618566,0.625363
7sci_A,0.839734,0.834528,0.824017,0.840709,0.841689,0.840201
7rlk_D,0.845954,0.842069,0.845993,0.844343,0.845313,0.845701
7xga_A,0.50181,0.569913,0.498222,0.495399,0.500612,0.500659
7ead_A,0.863179,0.857752,0.856441,0.860437,0.861204,0.861492
