pdb,spit,version,energy_myh,energy
7lqm_D,val,before,1833663834.8823788,1607827.1572179273
7bny_B,val,before,1583553249286129.5,164948141904871.97
7ool_A,val,before,127802063875500.36,1510419077.9487057
7fh3_A,val,before,12126062054400.777,698352.2805689969
7mrq_A,val,before,7796305886.333034,2049273.8695831418
7kpj_E,val,before,1404893857711882.5,1243437727882131.2
7b1k_B,val,before,1.5684110418533143e+18,1.5684108702755615e+18
7rdt_A,val,before,10834978396803.576,10641587940932.865
7dms_A,val,before,1261859.3385717093,5974.67024551704
7nl4_A,val,before,1654568.814731979,16466.448303436002
7re6_A,val,before,35564754943114.195,35259799359018.39
7f8a_A,val,before,710213790788510.1,204769152347420.62
7fip_A,val,before,324976284712.8164,147303104635.95093
7kik_A,val,before,6861550908852.805,6838849015617.231
7prd_A,val,before,1257683113082.1985,79710480.21769093
7v6p_A,val,before,2.3440414452788676e+16,2.255333596319901e+16
7kqv_D,val,before,30905298087.116962,25538515.752812125
7p3t_B,val,before,3767726956518.9277,3763880871233.6025
7dsu_B,val,before,4441177101598.117,1894100781361.791
7ezg_A,val,before,7152855391547257.0,5027441841209914.0
7s94_C,val,before,754940.0064132817,-16189.844761922479
7tbs_A,val,before,32572195321995.62,25396729139.304024
7fe3_A,val,before,163379219467.73935,153033200795.06766
7dcm_A,val,before,298397137.5442617,1163345.5875370824
7lqn_A,val,before,2073633419.5249765,2004250962.9781835
7dtp_A,val,before,5.82821074789208e+24,5.828210743686429e+24
7mpz_A,val,before,88047.22767393911,-24133.45626481381
7f7n_A,val,before,230326278203672.12,15785597202689.752
7ar0_B,val,before,13560502.007171907,4350749.57787005
7thw_A,val,before,66748677011.61697,37426668548.35349
7sf6_A,val,before,200471344322606.1,53220267.257664196
7spp_C,val,before,33071519553.91138,108138.59797875366
7v1v_A,val,before,96354933980.29713,93784174345.63612
7pbk_A,val,before,13384992886002.533,16929315747.344896
7et8_A,val,before,226997261666.70206,224566357759.62552
7mcc_A,val,before,18671533481697.27,15507411291731.799
6wqc_A,val,before,2915693972.414376,2018650.8176357013
6tf4_A,val,before,3407392556252.925,11466848827.299599
7don_B,val,before,3058408927.6264505,18000930.45112245
7l8n_A,val,before,12972722.231606575,-4737.329848566171
7nf9_A,val,before,641125239847295.8,594011707418947.6
7vdy_A,val,before,742245988.3922703,666799345.0426371
7wbr_A,val,before,17711020.4525333,13196416.81987757
7ab3_E,val,before,29712023.572357513,7945.374707215193
7ntn_A,val,before,6784606515532.683,16071149.418732362
7dq9_A,val,before,617186.1895560307,4957.740990241677
7ouq_A,val,before,2092861133.6611648,1307839165.377249
7f0h_A,val,before,208194.3758606287,-16365.99049902688
7q03_A,val,before,84047095769.68233,-44688.45387059827
7m0q_B,val,before,563018207828834.8,560399741689015.25
7rbw_A,val,before,1139489758203785.2,941469055394009.9
7tav_B,val,before,3693162.359730134,183312.99407657038
7jt9_A,val,before,19218868315900.965,264270746.7585116
7b26_C,val,before,511855638684.93286,511825237198.20197
7p3b_B,val,before,804375236.4614255,703517181.034531
7ndr_A,val,before,2732733849506.6597,13307267736.821875
